Index,Time,(INS).Yaw
1082,25.760000,-17.7586498
1083,25.780000,-17.7849255
1084,25.799000,-17.8132687
1085,25.818000,-17.8383198
1086,25.839000,-17.8636951
1087,25.858000,-17.8924732
1088,25.879000,-17.9231968
1089,25.903000,-17.9560547
1090,25.922000,-17.9823418
1091,25.942000,-18.0095196
1092,25.962000,-18.0370445
1093,26.001000,-18.0860386
1094,26.021000,-18.1151619
1095,26.040000,-18.139431
1096,26.060000,-18.1670666
1097,26.080000,-18.1926289
1098,26.099000,-18.2169781
1099,26.123000,-18.2487602
1100,26.143000,-18.2786484
1101,26.164000,-18.3072071
1102,26.185000,-18.3388081
1103,26.206000,-18.3651352
1104,26.225000,-18.3915043
1105,26.243000,-18.4181156
1106,26.278000,-18.4608955
1107,26.296000,-18.4889812
1108,26.316000,-18.5158768
1109,26.337000,-18.5442276
1110,26.359000,-18.5758953
1111,26.379000,-18.6023026
1112,26.402000,-18.6345234
1113,26.421000,-18.6613407
1114,26.440000,-18.6897812
1115,26.460000,-18.7153568
1116,26.511000,-18.7873478
1117,26.531000,-18.8163128
1118,26.550000,-18.84338
1119,26.571000,-18.8693333
1120,26.591000,-18.8990746
1121,26.611000,-18.9228973
1122,26.632000,-18.9512768
1123,26.652000,-18.983448
1124,26.673000,-19.0127621
1125,26.694000,-19.0386372
1126,26.714000,-19.0675125
1127,26.760000,-19.132803
1128,26.780000,-19.1622162
1129,26.801000,-19.1908169
1130,26.820000,-19.2176704
1131,26.839000,-19.2454872
1132,26.858000,-19.2728329
1133,26.878000,-19.2999363
1134,26.902000,-19.3356342
1135,26.923000,-19.3605976
1136,26.943000,-19.39011
1137,26.964000,-19.4202576
1138,27.010000,-19.4888382
1139,27.030000,-19.5171928
1140,27.050000,-19.5435543
1141,27.069000,-19.5714779
1142,27.088000,-19.6018219
1143,27.107000,-19.630209
1144,27.127000,-19.6537724
1145,27.145000,-19.6814156
1146,27.164000,-19.7074318
1147,27.184000,-19.7366028
1148,27.203000,-19.7606449
1149,27.258000,-19.8383503
1150,27.277000,-19.8643951
1151,27.296000,-19.8912392
1152,27.316000,-19.9193287
1153,27.342000,-19.9545307
1154,27.362000,-19.981163
1155,27.381000,-20.0151157
1156,27.402000,-20.0452232
1157,27.424000,-20.07234
1158,27.442000,-20.0993958
1159,27.463000,-20.1282444
1160,27.505000,-20.188509
1161,27.525000,-20.2203293
1162,27.547000,-20.2497177
1163,27.566000,-20.2796497
1164,27.585000,-20.3093643
1165,27.610000,-20.347414
1166,27.631000,-20.3777237
1167,27.651000,-20.4097424
1168,27.670000,-20.433815
1169,27.689000,-20.4634609
1170,27.709000,-20.4904346
1171,27.754000,-20.5499668
1172,27.774000,-20.5760212
1173,27.793000,-20.6036224
1174,27.814000,-20.6324348
1175,27.838000,-20.6661301
1176,27.857000,-20.6942806
1177,27.876000,-20.7251663
1178,27.897000,-20.7520981
1179,27.916000,-20.7792072
1180,27.935000,-20.8100643
1181,27.954000,-20.8364716
1182,27.973000,-20.8648643
1183,28.017000,-20.9260197
1184,28.036000,-20.9553356
1185,28.063000,-20.9933014
1186,28.083000,-21.0225754
1187,28.102000,-21.0491447
1188,28.122000,-21.0794067
